CFTI (y compris etbs),Transport operationnel,48.339,France,PIE,Oui,4,TAXPAY,0
Charlipiste,Transport operationnel,2.47,France,PIE,Oui,4,TAXPAY,0
CHARTRES MOBILITE,Transport operationnel,8.448,France,PIE,Oui,4,TAXPAY,0
CIE ARMORICAINE DE TRANSPORTS,Transport operationnel,67.73,France,PIE,Oui,1,TAXPAY,0
CIE DE TRANSPORTS DE SAUMUR,Transport operationnel,0.009,France,PIE,Oui,4,TAXPAY,0
CIE DES AUTOCARS DE TOURAINE,Transport operationnel,17.772,France,PIE,Oui,4,TAXPAY,0
CIE DES TRANSPORTS DU PAYS DE VANNES,Transport operationnel,13.246,France,PIE,Oui,4,TAXPAY,0
CIE OCEANE,Transport operationnel,19.881,France,PIE,Oui,4,TAXPAY,0
Cie Saint Quentinoise de transports,Transport operationnel,6.271,France,PIE,Oui,4,TAXPAY,0
CIOTABUS,Transport operationnel,3.62,France,PIE,Oui,4,TAXPAY,0
CITEBUS DES 2 RIVES,Transport operationnel,1.941,France,PIE,Oui,4,TAXPAY,0
CITRAM AQUITAINE,Transport operationnel,44.679,France,PIE,Oui,1,TAXPAY,0
OY BIKE,Transport operationnel,0.918518518518518,United Kingdom,PIE,Oui,4,TAXPAY,0
CITRAM PYRENEES,Transport operationnel,2.977,France,PIE,Oui,4,TAXPAY,0
CITYWAY,Transport operationnel,11.497,France,PIE,Oui,3,TAXPAY,0
CMTS (MAYOTTE),Transport operationnel,1.321,France,PIE,Oui,4,TAXPAY,0
Compagnie des bacs de Loire,Transport operationnel,3.136,France,PIE,Oui,4,TAXPAY,0
COMPAGNIE DES TRANSPORTS DE LA RIVIEIRA,Transport operationnel,5.32,France,PIE,Oui,4,TAXPAY,0
Compagnie du Golfe,Transport operationnel,1.669,France,PIE,Oui,4,TAXPAY,0
Compagnie Ferroviaire Sud France,Transport operationnel,12.262,France,PIE,Oui,4,TAXPAY,0
Connex LCB,Transport operationnel,16.518,France,PIE,Oui,4,TAXPAY,0
CONNEX NANCY,Transport operationnel,52.953,France,PIE,Oui,1,TAXPAY,0
COURRIERS AUTOMOBILES PICARDS,Transport operationnel,32.056,France,PIE,Oui,4,TAXPAY,0
COURRIERS DE L'AUBE,Transport operationnel,11.546,France,PIE,Oui,4,TAXPAY,0
COURRIERS DE SEINE ET OISE,Transport operationnel,25.703,France,PIE,Oui,4,TAXPAY,0
CREUSOT MONTCEAU TRANSPORTS,Transport operationnel,5.202,France,PIE,Oui,4,TAXPAY,0
CROLARD SA,Transport operationnel,15.416,France,PIE,Oui,4,TAXPAY,0
CTPO,Transport operationnel,52.712,France,PIE,Oui,1,TAXPAY,0
DUNAND,Transport operationnel,2.544,France,PIE,Oui,4,TAXPAY,0
EAVT,Transport operationnel,5.696,Portugal,PIE,Oui,4,TAXPAY,0
ECAUXMOBILIT,Transport operationnel,2.31,France,PIE,Oui,4,TAXPAY,0
Energie Bus,Transport operationnel,0.006,France,PIE,Oui,4,TAXPAY,0
EQUIVAL SAS NEW,Transport operationnel,1.044,France,PIE,Oui,4,TAXPAY,0
ESPACES SA,Transport operationnel,0.929,France,PIE,Oui,4,TAXPAY,0
ESTEREL CARS,Transport operationnel,4.137,France,PIE,Oui,4,TAXPAY,0
ETAC,Transport operationnel,7.015,Portugal,PIE,Oui,4,TAXPAY,0
EUROLINES FRANCE,Transport operationnel,35.805,France,PIE,Oui,1,TAXPAY,0
EUROPE AUTOCARS,Transport operationnel,2.033,France,PIE,Oui,4,TAXPAY,0
FRIOUL IF EXPRESS,Transport operationnel,3.894,France,PIE,Oui,4,TAXPAY,0
GIE TRANSDEV FORMATION,Transport operationnel,1.777,France,PIE,Oui,4,TAXPAY,0
GUEDES,Transport operationnel,3.819,Portugal,PIE,Oui,4,TAXPAY,0
HaBus GmbH Verkehrsbetriebe,Transport operationnel,2.83101,Germany,PIE,Oui,4,TAXPAY,0
HANDILIB,Transport operationnel,0.212,France,PIE,Oui,4,TAXPAY,0
HEIDENHEIMER VERKEHRSGESELLSCHAFT MBH,Transport operationnel,8.289,Germany,PIE,Oui,4,TAXPAY,0
INTERCENTRO,Transport operationnel,5.742,Portugal,PIE,Oui,4,TAXPAY,0
INTERNORTE,Transport operationnel,7.566,Portugal,PIE,Oui,4,TAXPAY,0
Interpiste,Transport operationnel,4.955,France,PIE,Oui,4,TAXPAY,0
INTERSUL,Transport operationnel,1.104,Portugal,PIE,Oui,4,TAXPAY,0
INTERVAL,Transport operationnel,6.837,France,PIE,Oui,4,TAXPAY,0
JOALTO RB,Transport operationnel,4.739,Portugal,PIE,Oui,4,TAXPAY,0
JRF,Transport operationnel,0.071,Portugal,PIE,Oui,4,TAXPAY,0
JVP,Transport operationnel,0.713,Portugal,PIE,Oui,4,TAXPAY,0
KUNEGEL SA,Transport operationnel,21.867,France,PIE,Oui,4,TAXPAY,0
LAON MOBILITE,Transport operationnel,3.897,France,PIE,Oui,4,TAXPAY,0
LES AUTOCARS BLANCS,Transport operationnel,4.392,France,PIE,Oui,4,TAXPAY,0
LES CARS MARIETTE,Transport operationnel,0.535,France,PIE,Oui,4,TAXPAY,0
LES CARS ROSE,Transport operationnel,3.251,France,PIE,Oui,4,TAXPAY,0
LES LIGNES DU VAR,Transport operationnel,20.097,France,PIE,Oui,4,TAXPAY,0
LIMMOBILIERE DES FONTAINES,Transport operationnel,3.302,France,PIE,Oui,4,TAXPAY,0
LITTORAL NORD AUTOCARS,Transport operationnel,11.334,France,PIE,Oui,4,TAXPAY,0
MARTIN FRERES,Transport operationnel,4.535,France,PIE,Oui,4,TAXPAY,0
MERCUR,Transport operationnel,0.601,France,PIE,Oui,4,TAXPAY,0
MINHO BUS,Transport operationnel,3.059,Portugal,PIE,Oui,4,TAXPAY,0
